PerformanceID,EmployeeID,FirstName,LastName,Gender,Age,BusinessTravel,Department,DistanceFromHome (KM),State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating
PR1295,3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,03/01/2012,No,10,4,9,7,10/30/2016,3,3,2,3,0,4,3,3
PR1908,3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,03/01/2012,No,10,4,9,7,10/30/2017,4,4,5,3,1,2,3,2
PR2617,3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,03/01/2012,No,10,4,9,7,10/30/2018,5,5,4,3,0,4,5,5
PR3436,3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,03/01/2012,No,10,4,9,7,10/30/2019,1,3,2,3,1,3,5,4
PR411,3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,03/01/2012,No,10,4,9,7,10/31/2014,3,4,2,1,0,3,4,3
PR4378,3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,03/01/2012,No,10,4,9,7,10/29/2020,3,2,5,1,0,3,5,4
PR5415,3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,03/01/2012,No,10,4,9,7,10/29/2021,4,5,4,1,0,4,3,3
PR6529,3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,03/01/2012,No,10,4,9,7,10/29/2022,4,2,4,1,0,2,5,4
PR791,3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,03/01/2012,No,10,4,9,7,10/31/2015,5,5,2,2,1,5,4,4
PR1213,CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,04/01/2012,No,10,6,10,0,7/30/2016,3,3,2,2,0,5,4,4
PR1800,CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,04/01/2012,No,10,6,10,0,7/30/2017,3,5,5,2,0,2,4,3
PR2477,CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,04/01/2012,No,10,6,10,0,7/30/2018,5,2,5,2,0,2,5,5
PR3267,CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,04/01/2012,No,10,6,10,0,7/30/2019,4,3,4,3,2,3,4,3
PR376,CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,04/01/2012,No,10,6,10,0,7/31/2014,5,5,4,3,2,3,4,4
PR4176,CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,04/01/2012,No,10,6,10,0,7/29/2020,3,2,2,2,0,2,3,3
PR5192,CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,04/01/2012,No,10,6,10,0,7/29/2021,5,3,4,2,1,4,4,4
PR6295,CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,04/01/2012,No,10,6,10,0,7/29/2022,3,4,4,3,0,2,5,4
PR741,CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,04/01/2012,No,10,6,10,0,7/31/2015,4,3,4,3,2,4,5,5
PR1035,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,04/01/2012,No,10,6,10,8,04/08/2016,3,3,2,1,0,2,3,2
PR1583,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,04/01/2012,No,10,6,10,8,04/08/2017,4,4,3,2,2,5,4,4
PR2235,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,04/01/2012,No,10,6,10,8,04/08/2018,5,4,4,2,2,5,3,2
PR280,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,04/01/2012,No,10,6,10,8,04/09/2014,5,2,3,1,0,2,4,4
PR2981,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,04/01/2012,No,10,6,10,8,04/08/2019,3,4,2,3,0,2,3,3
PR3851,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,04/01/2012,No,10,6,10,8,04/07/2020,4,2,3,3,0,5,3,2
PR4841,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,04/01/2012,No,10,6,10,8,04/07/2021,4,4,3,3,2,4,4,3
PR5918,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,04/01/2012,No,10,6,10,8,04/07/2022,4,5,3,3,0,4,4,3
PR599,95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,04/01/2012,No,10,6,10,8,04/09/2015,3,4,3,1,0,5,4,4
PR1016,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,05/01/2012,No,10,10,10,0,3/27/2016,3,5,3,3,0,2,3,3
PR1562,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,05/01/2012,No,10,10,10,0,3/27/2017,4,5,5,1,1,5,4,3
PR2211,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,05/01/2012,No,10,10,10,0,3/27/2018,4,3,4,3,1,2,4,4
PR267,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,05/01/2012,No,10,10,10,0,3/28/2014,3,5,5,1,2,2,5,5
PR2954,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,05/01/2012,No,10,10,10,0,3/27/2019,4,4,3,3,2,5,3,2
PR3818,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,05/01/2012,No,10,10,10,0,3/26/2020,4,5,2,3,2,2,5,4
PR4807,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,05/01/2012,No,10,10,10,0,3/26/2021,1,1,2,1,1,2,3,3
PR582,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,05/01/2012,No,10,10,10,0,3/28/2015,5,4,3,1,1,2,5,5
PR5879,47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,05/01/2012,No,10,10,10,0,3/26/2022,1,4,3,2,2,3,3,3
PR1107,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,05/01/2012,Yes,6,1,1,6,5/13/2016,4,3,2,1,0,5,3,2
PR137,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,05/01/2012,Yes,6,1,1,6,5/14/2013,5,2,4,2,1,5,4,3
PR1662,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,05/01/2012,Yes,6,1,1,6,5/13/2017,4,3,5,1,2,4,4,3
PR2321,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,05/01/2012,Yes,6,1,1,6,5/13/2018,4,3,2,1,1,3,4,3
PR3078,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,05/01/2012,Yes,6,1,1,6,5/13/2019,4,5,4,3,0,4,4,3
PR332,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,05/01/2012,Yes,6,1,1,6,5/14/2014,4,5,4,2,3,5,5,5
PR3962,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,05/01/2012,Yes,6,1,1,6,05/12/2020,3,4,5,3,2,5,4,4
PR4958,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,05/01/2012,Yes,6,1,1,6,05/12/2021,3,4,3,1,2,5,3,2
PR661,42CC-040A,Stace,Savege,Female,29,Some Travel,Human Resources,29,CA,White,2,Technical Degree,Recruiter,Single,49606,0,No,05/01/2012,Yes,6,1,1,6,5/14/2015,5,2,5,2,1,3,3,2
PR1325,C219-6C2E,Clerkclaude,Hinkins,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,2,Marketing,Sales Executive,Divorced,133468,1,No,05/01/2012,No,10,3,7,9,11/22/2016,4,4,2,3,1,5,4,4
