PerformanceID|EmployeeID|FirstName|LastName|Gender|Age|BusinessTravel|Department|DistanceFromHome (KM)|State|Ethnicity|Education|EducationField|JobRole|MaritalStatus|Salary|StockOptionLevel|OverTime|HireDate|Attrition|YearsAtCompany|YearsInMostRecentRole|YearsSinceLastPromotion|YearsWithCurrManager|ReviewDate|EnvironmentSatisfaction|JobSatisfaction|RelationshipSatisfaction|TrainingOpportunitiesWithinYear|TrainingOpportunitiesTaken|WorkLifeBalance|SelfRating|ManagerRating
PR1035|95D7-1CE9|Ahmed|Sykes|Male|43|Some Travel|Human Resources|29|CA|Asian or Asian American|4|Marketing |HR Business Partner|Married|309964|1|No|2012-01-04|No|10|6|10|8|2016-04-08|3|3|2|1|0|2|3|2
PR1583|95D7-1CE9|Ahmed|Sykes|Male|43|Some Travel|Human Resources|29|CA|Asian or Asian American|4|Marketing |HR Business Partner|Married|309964|1|No|2012-01-04|No|10|6|10|8|2017-04-08|4|4|3|2|2|5|4|4
PR2235|95D7-1CE9|Ahmed|Sykes|Male|43|Some Travel|Human Resources|29|CA|Asian or Asian American|4|Marketing |HR Business Partner|Married|309964|1|No|2012-01-04|No|10|6|10|8|2018-04-08|5|4|4|2|2|5|3|2
PR280|95D7-1CE9|Ahmed|Sykes|Male|43|Some Travel|Human Resources|29|CA|Asian or Asian American|4|Marketing |HR Business Partner|Married|309964|1|No|2012-01-04|No|10|6|10|8|2014-04-09|5|2|3|1|0|2|4|4
PR2981|95D7-1CE9|Ahmed|Sykes|Male|43|Some Travel|Human Resources|29|CA|Asian or Asian American|4|Marketing |HR Business Partner|Married|309964|1|No|2012-01-04|No|10|6|10|8|2019-04-08|3|4|2|3|0|2|3|3
PR3851|95D7-1CE9|Ahmed|Sykes|Male|43|Some Travel|Human Resources|29|CA|Asian or Asian American|4|Marketing |HR Business Partner|Married|309964|1|No|2012-01-04|No|10|6|10|8|2020-04-07|4|2|3|3|0|5|3|2
PR4841|95D7-1CE9|Ahmed|Sykes|Male|43|Some Travel|Human Resources|29|CA|Asian or Asian American|4|Marketing |HR Business Partner|Married|309964|1|No|2012-01-04|No|10|6|10|8|2021-04-07|4|4|3|3|2|4|4|3
PR5918|95D7-1CE9|Ahmed|Sykes|Male|43|Some Travel|Human Resources|29|CA|Asian or Asian American|4|Marketing |HR Business Partner|Married|309964|1|No|2012-01-04|No|10|6|10|8|2022-04-07|4|5|3|3|0|4|4|3
PR599|95D7-1CE9|Ahmed|Sykes|Male|43|Some Travel|Human Resources|29|CA|Asian or Asian American|4|Marketing |HR Business Partner|Married|309964|1|No|2012-01-04|No|10|6|10|8|2015-04-09|3|4|3|1|0|5|4|4
PR1107|42CC-040A|Stace|Savege|Female|29|Some Travel|Human Resources|29|CA|White|2|Technical Degree|Recruiter|Single|49606|0|No|2012-01-05|Yes|6|1|1|6|2016-05-13|4|3|2|1|0|5|3|2
PR137|42CC-040A|Stace|Savege|Female|29|Some Travel|Human Resources|29|CA|White|2|Technical Degree|Recruiter|Single|49606|0|No|2012-01-05|Yes|6|1|1|6|2013-05-14|5|2|4|2|1|5|4|3
PR1662|42CC-040A|Stace|Savege|Female|29|Some Travel|Human Resources|29|CA|White|2|Technical Degree|Recruiter|Single|49606|0|No|2012-01-05|Yes|6|1|1|6|2017-05-13|4|3|5|1|2|4|4|3
PR2321|42CC-040A|Stace|Savege|Female|29|Some Travel|Human Resources|29|CA|White|2|Technical Degree|Recruiter|Single|49606|0|No|2012-01-05|Yes|6|1|1|6|2018-05-13|4|3|2|1|1|3|4|3
PR3078|42CC-040A|Stace|Savege|Female|29|Some Travel|Human Resources|29|CA|White|2|Technical Degree|Recruiter|Single|49606|0|No|2012-01-05|Yes|6|1|1|6|2019-05-13|4|5|4|3|0|4|4|3
PR332|42CC-040A|Stace|Savege|Female|29|Some Travel|Human Resources|29|CA|White|2|Technical Degree|Recruiter|Single|49606|0|No|2012-01-05|Yes|6|1|1|6|2014-05-14|4|5|4|2|3|5|5|5
PR3962|42CC-040A|Stace|Savege|Female|29|Some Travel|Human Resources|29|CA|White|2|Technical Degree|Recruiter|Single|49606|0|No|2012-01-05|Yes|6|1|1|6|2020-05-12|3|4|5|3|2|5|4|4
PR4958|42CC-040A|Stace|Savege|Female|29|Some Travel|Human Resources|29|CA|White|2|Technical Degree|Recruiter|Single|49606|0|No|2012-01-05|Yes|6|1|1|6|2021-05-12|3|4|3|1|2|5|3|2
PR661|42CC-040A|Stace|Savege|Female|29|Some Travel|Human Resources|29|CA|White|2|Technical Degree|Recruiter|Single|49606|0|No|2012-01-05|Yes|6|1|1|6|2015-05-14|5|2|5|2|1|3|3|2
PR1318|C395-8C36|Curcio|Franek|Male|33|Some Travel|Human Resources|3|CA|Mixed or multiple ethnic groups|1|Technical Degree|Recruiter|Divorced|53616|1|Yes|2012-01-19|No|10|2|3|7|2016-11-17|4|2|5|3|0|2|3|3
PR1940|C395-8C36|Curcio|Franek|Male|33|Some Travel|Human Resources|3|CA|Mixed or multiple ethnic groups|1|Technical Degree|Recruiter|Divorced|53616|1|Yes|2012-01-19|No|10|2|3|7|2017-11-17|5|5|3|1|3|3|5|4
PR2650|C395-8C36|Curcio|Franek|Male|33|Some Travel|Human Resources|3|CA|Mixed or multiple ethnic groups|1|Technical Degree|Recruiter|Divorced|53616|1|Yes|2012-01-19|No|10|2|3|7|2018-11-17|3|5|3|3|0|3|4|3
PR3472|C395-8C36|Curcio|Franek|Male|33|Some Travel|Human Resources|3|CA|Mixed or multiple ethnic groups|1|Technical Degree|Recruiter|Divorced|53616|1|Yes|2012-01-19|No|10|2|3|7|2019-11-17|5|3|4|1|2|4|4|4
PR4420|C395-8C36|Curcio|Franek|Male|33|Some Travel|Human Resources|3|CA|Mixed or multiple ethnic groups|1|Technical Degree|Recruiter|Divorced|53616|1|Yes|2012-01-19|No|10|2|3|7|2020-11-16|4|4|4|3|1|5|5|4
PR5465|C395-8C36|Curcio|Franek|Male|33|Some Travel|Human Resources|3|CA|Mixed or multiple ethnic groups|1|Technical Degree|Recruiter|Divorced|53616|1|Yes|2012-01-19|No|10|2|3|7|2021-11-16|1|1|2|3|1|4|5|4
PR6581|C395-8C36|Curcio|Franek|Male|33|Some Travel|Human Resources|3|CA|Mixed or multiple ethnic groups|1|Technical Degree|Recruiter|Divorced|53616|1|Yes|2012-01-19|No|10|2|3|7|2022-11-16|3|2|4|2|0|2|5|5
PR805|C395-8C36|Curcio|Franek|Male|33|Some Travel|Human Resources|3|CA|Mixed or multiple ethnic groups|1|Technical Degree|Recruiter|Divorced|53616|1|Yes|2012-01-19|No|10|2|3|7|2015-11-18|5|3|2|1|1|2|5|5
PR1144|B3AF-7E58|Elvira|Ianelli|Female|45|Some Travel|Human Resources|34|NY|Black or African American|2|Human Resources|Recruiter|Divorced|54132|1|Yes|2012-01-20|No|10|10|10|10|2016-06-01|4|5|3|1|1|5|4|4
PR1705|B3AF-7E58|Elvira|Ianelli|Female|45|Some Travel|Human Resources|34|NY|Black or African American|2|Human Resources|Recruiter|Divorced|54132|1|Yes|2012-01-20|No|10|10|10|10|2017-06-01|3|5|5|3|0|3|3|2
PR2367|B3AF-7E58|Elvira|Ianelli|Female|45|Some Travel|Human Resources|34|NY|Black or African American|2|Human Resources|Recruiter|Divorced|54132|1|Yes|2012-01-20|No|10|10|10|10|2018-06-01|3|3|3|2|1|4|5|4
PR3134|B3AF-7E58|Elvira|Ianelli|Female|45|Some Travel|Human Resources|34|NY|Black or African American|2|Human Resources|Recruiter|Divorced|54132|1|Yes|2012-01-20|No|10|10|10|10|2019-06-01|5|5|2|3|0|2|4|3
